Equipment,Point_Name,Alarm_Extension,Alarm_Class,Alarm_Type,Delay,High_Limit,Low_Limit,Dead_Band,offNormal_Text,Normal_Text
AHU2,AHU2BMSSATSTPTALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2BMSSFSPDALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2BYPDLOWERALM,OutOfRangeAlarmExt,Medium,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU2,AHU2BYPDUPPERALM,OutOfRangeAlarmExt,High,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU2,AHU2ECFANFAILALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2EVAPHIGHWATERALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2EVAPLOWWATERALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2FILDPALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SADLOWERALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SADUPPERALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SATHIGHALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SATLOWALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SUMP1HILVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SUMP1LOWLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SUMP1PMPALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SUMP2HILVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SUMP2LOWLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2SUMP2PMPALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3EVAP1STG1FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3EVAP1STG2FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3EVAP2STG1FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3EVAP2STG2FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3PWRUPSSTATUS,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3BMSMODEALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3BMSSATSTPTALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3BMSSFSPDALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3BYPDLOWERALM,OutOfRangeAlarmExt,Medium,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU3,AHU3BYPDUPPERALM,OutOfRangeAlarmExt,High,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU3,AHU3ECFANFAILALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3EVAPHIGHWATERALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3EVAPLOWWATERALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SADLOWERALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SADUPPERALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SATHIGHALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SATLOWALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SUMP1HILVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SUMP1LOWLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SUMP1PMPALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SUMP2HILVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SUMP2LOWLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3SUMP2PMPALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1PUMPFAILALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1TANKHIGHLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1TANKLOWLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1FLOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1FILDPALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1SUPPLYPRESSURELOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2PUMPFAILALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2TANKHIGHLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2TANKLOWLVLALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2FLOWALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2FILDPALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2SUPPLYPRESSURELOWALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1MAINBRKRTRIPALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1PNLOVERHEATALM,OutOfRangeAlarmExt,High,OutOfRange,10,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1UPSFAILALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1ROOMTEMPHIGHALM,OutOfRangeAlarmExt,Medium,OutOfRange,60,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1SMOKEALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1POWERLOSSALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1GENRUNSTS,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1BATTERYLOWALM,OutOfRangeAlarmExt,High,OutOfRange,10,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1SPDALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1CBSTS,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2MAINBRKRTRIPALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2PNLOVERHEATALM,OutOfRangeAlarmExt,High,OutOfRange,10,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2UPSFAILALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2ROOMTEMPHIGHALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2SMOKEALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2POWERLOSSALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2GENRUNSTS,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2BATTERYLOWALM,OutOfRangeAlarmExt,High,OutOfRange,10,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2SPDALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2CBSTS,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
CAT1,CAT1SPACETEMP,OutOfRangeAlarmExt,High,OutOfRange,5,80,65,2,OUT OF RANGE,NORMAL
CAT1,CAT1SPACEHUMIDITY,OutOfRangeAlarmExt,Medium,OutOfRange,30,60,30,5,OUT OF RANGE,NORMAL
CAT1,CAT1SPACECO2,OutOfRangeAlarmExt,High,OutOfRange,10,1000,300,50,OUT OF RANGE,NORMAL
CAT1,CAT1SUPPLYTEMP,OutOfRangeAlarmExt,High,OutOfRange,5,75,55,2,OUT OF RANGE,NORMAL
CAT1,CAT1RETURNTEMP,OutOfRangeAlarmExt,Medium,OutOfRange,5,80,60,2,OUT OF RANGE,NORMAL
CAT2,CAT2SPACETEMP,OutOfRangeAlarmExt,High,OutOfRange,5,78,65,2,OUT OF RANGE,NORMAL
CAT2,CAT2SPACEHUMIDITY,OutOfRangeAlarmExt,Medium,OutOfRange,30,60,30,5,OUT OF RANGE,NORMAL
CAT2,CAT2SPACECO2,OutOfRangeAlarmExt,High,OutOfRange,10,1000,400,50,OUT OF RANGE,NORMAL
CAT2,CAT2SUPPLYTEMP,OutOfRangeAlarmExt,High,OutOfRange,5,75,55,5,OUT OF RANGE,NORMAL
