Equipment,Point_Name,Trend_Type,Trend_Interval
AHU2,AHU2SUMP1LOWLVLALM,Sampled,1
AHU2,AHU2SUMP1PMPALM,Sampled,1
AHU2,AHU2SUMP2HILVLALM,Sampled,1
AHU2,AHU2SUMP2LOWLVLALM,Sampled,1
AHU2,AHU2SUMP2PMPALM,Sampled,1
AHU3,AHU3EVAP1STG1FLOWALM,Sampled,1
AHU3,AHU3EVAP1STG2FLOWALM,Sampled,1
AHU3,AHU3EVAP2STG1FLOWALM,Sampled,1
AHU3,AHU3EVAP2STG2FLOWALM,Sampled,1
AHU3,AHU3PWRUPSSTATUS,Sampled,1
AHU3,AHU3BMSMODEALM,Sampled,1
AHU3,AHU3BMSSATSTPTALM,Sampled,1
AHU3,AHU3BMSSFSPDALM,Sampled,1
AHU3,AHU3BYPDLOWERALM,Sampled,1
AHU3,AHU3BYPDUPPERALM,Sampled,1
AHU3,AHU3ECFANFAILALM,Sampled,1
AHU3,AHU3EVAPHIGHWATERALM,Sampled,1
AHU3,AHU3EVAPLOWWATERALM,Sampled,1
AHU3,AHU3SADLOWERALM,Sampled,1
AHU3,AHU3SADUPPERALM,Sampled,1
AHU3,AHU3SATHIGHALM,Sampled,1
AHU3,AHU3SATLOWALM,Sampled,1
AHU3,AHU3SUMP1HILVLALM,Sampled,1
AHU3,AHU3SUMP1LOWLVLALM,Sampled,1
AHU3,AHU3SUMP1PMPALM,Sampled,1
AHU3,AHU3SUMP2HILVLALM,Sampled,1
AHU3,AHU3SUMP2LOWLVLALM,Sampled,1
AHU3,AHU3SUMP2PMPALM,Sampled,1
IWS1,IWS1PUMPFAILALM,Sampled,1
IWS1,IWS1TANKHIGHLVLALM,Sampled,1
IWS1,IWS1TANKLOWLVLALM,Sampled,1
IWS1,IWS1FLOWALM,Sampled,1
IWS1,IWS1FILDPALM,Sampled,1
IWS1,IWS1SUPPLYPRESSURELOWALM,Sampled,1
IWS2,IWS2PUMPFAILALM,Sampled,1
IWS2,IWS2TANKHIGHLVLALM,Sampled,1
IWS2,IWS2TANKLOWLVLALM,Sampled,1
IWS2,IWS2FLOWALM,Sampled,1
IWS2,IWS2FILDPALM,Sampled,1
IWS2,IWS2SUPPLYPRESSURELOWALM,Sampled,1
ELEC1,ELEC1MAINBRKRTRIPALM,Sampled,1
ELEC1,ELEC1PNLOVERHEATALM,Sampled,1
ELEC1,ELEC1UPSFAILALM,Sampled,1
ELEC1,ELEC1ROOMTEMPHIGHALM,Sampled,1
ELEC1,ELEC1SMOKEALM,Sampled,1
ELEC1,ELEC1POWERLOSSALM,Sampled,1
ELEC1,ELEC1GENRUNSTS,Sampled,1
ELEC1,ELEC1BATTERYLOWALM,Sampled,1
ELEC1,ELEC1SPDALM,Sampled,1
ELEC1,ELEC1CBSTS,Sampled,1
ELEC2,ELEC2MAINBRKRTRIPALM,Sampled,1
ELEC2,ELEC2PNLOVERHEATALM,Sampled,1
ELEC2,ELEC2UPSFAILALM,Sampled,1
ELEC2,ELEC2ROOMTEMPHIGHALM,Sampled,1
ELEC2,ELEC2SMOKEALM,Sampled,1
ELEC2,ELEC2POWERLOSSALM,Sampled,1
ELEC2,ELEC2GENRUNSTS,Sampled,1
ELEC2,ELEC2BATTERYLOWALM,Sampled,1
ELEC2,ELEC2SPDALM,Sampled,1
ELEC2,ELEC2CBSTS,Sampled,1
CAT1,CAT1SPACETEMP,Sampled,2
CAT1,CAT1SPACEHUMIDITY,Sampled,2
CAT1,CAT1SPACECO2,Sampled,2
CAT1,CAT1SUPPLYTEMP,Sampled,2
CAT1,CAT1RETURNTEMP,Sampled,2
CAT2,CAT2SPACETEMP,Sampled,2
CAT2,CAT2SPACEHUMIDITY,Sampled,2
CAT2,CAT2SPACECO2,Sampled,2
CAT2,CAT2SUPPLYTEMP,Sampled,2
AHU1,AHU1FANSTATUS,COV,
AHU1,AHU1ESTOP,COV,
AHU2,AHU2FANSTATUS,COV,
AHU2,AHU2ESTOP,COV,
AHU3,AHU3FANSTATUS,COV,
AHU3,AHU3ESTOP,COV,
