Equipment,Point_Name,Alarm_Extension,Alarm_Class,Alarm_Type,Delay,High_Limit,Low_Limit,Dead_Band,offNormal_Text,Normal_Text
AHU2,AHU2_PWR_UPS_STATUS,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_BMS_MODE_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_BMS_SAT_STPT_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_BMS_SF_SPD_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_BYPD_LOWER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_BYPD_UPPER_ALM,OutOfRangeAlarmExt,High,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_ECFAN_FAIL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_EVAP_HIGH_WATER_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_EVAP_LOW_WATER_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_FILDP_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SAD_LOWER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SAD_UPPER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SAT_HIGH_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SAT_LOW_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SUMP1_HI_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SUMP1_LOW_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SUMP1_PMP_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SUMP2_HI_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SUMP2_LOW_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU2,AHU2_SUMP2_PMP_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_EVAP1_STG1_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_EVAP1_STG2_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_EVAP2_STG1_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_EVAP2_STG2_FLOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_PWR_UPS_STATUS,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_BMS_MODE_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_BMS_SF_SPD_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_BYPD_LOWER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_BYPD_UPPER_ALM,OutOfRangeAlarmExt,High,OutOfRange,60,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_ECFAN_FAIL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_EVAP_HIGH_WATER_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_EVAP_LOW_WATER_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_FILDP_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SAD_LOWER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SAD_UPPER_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SAT_HIGH_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SAT_LOW_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SUMP1_HI_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SUMP1_LOW_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SUMP1_PMP_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SUMP2_HI_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SUMP2_LOW_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
AHU3,AHU3_SUMP2_PMP_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1_PUMP_FAIL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1_TANK_HIGH_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1_TANK_LOW_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1_FLOW_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1_FILDP_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS1,IWS1_SUPPLY_PRESSURE_LOW_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2_PUMP_FAIL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2_TANK_HIGH_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2_TANK_LOW_LVL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2_FLOW_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2_FILDP_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
IWS2,IWS2_SUPPLY_PRESSURE_LOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_MAIN_BRKR_TRIP_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_PNL_OVERHEAT_ALM,OutOfRangeAlarmExt,High,OutOfRange,10,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_UPS_FAIL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_ROOM_TEMP_HIGH_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_SMOKE_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_POWER_LOSS_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_GEN_RUN_STS,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_BATTERY_LOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_SPD_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC1,ELEC1_CB_STS,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_MAIN_BRKR_TRIP_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_PNL_OVERHEAT_ALM,OutOfRangeAlarmExt,High,OutOfRange,10,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_UPS_FAIL_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_ROOM_TEMP_HIGH_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,30,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_SMOKE_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_POWER_LOSS_ALM,OutOfRangeAlarmExt,High,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_GEN_RUN_STS,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_BATTERY_LOW_ALM,OutOfRangeAlarmExt,High,OutOfRange,10,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_SPD_ALM,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
ELEC2,ELEC2_CB_STS,OutOfRangeAlarmExt,Medium,OutOfRange,5,,,,OUT OF RANGE,NORMAL
CAT1,CAT1_SPACE_TEMP,OutOfRangeAlarmExt,High,OutOfRange,5,78,65,3,OUT OF RANGE,NORMAL
CAT1,CAT1_SPACE_HUMIDITY,OutOfRangeAlarmExt,Medium,OutOfRange,30,70,30,5,OUT OF RANGE,NORMAL
CAT1,CAT1_SPACE_CO2,OutOfRangeAlarmExt,High,OutOfRange,10,1000,400,50,OUT OF RANGE,NORMAL
CAT1,CAT1_SUPPLY_TEMP,OutOfRangeAlarmExt,High,OutOfRange,5,75,55,2,OUT OF RANGE,NORMAL
CAT1,CAT1_RETURN_TEMP,OutOfRangeAlarmExt,Medium,OutOfRange,5,80,60,2,OUT OF RANGE,NORMAL
CAT2,CAT2_SPACE_TEMP,OutOfRangeAlarmExt,High,OutOfRange,5,78,65,2,OUT OF RANGE,NORMAL
CAT2,CAT2_SPACE_HUMIDITY,OutOfRangeAlarmExt,Medium,OutOfRange,30,60,30,5,OUT OF RANGE,NORMAL
CAT2,CAT2_SUPPLY_TEMP,OutOfRangeAlarmExt,High,OutOfRange,5,75,55,2,OUT OF RANGE,NORMAL
CAT2,CAT2_RETURN_TEMP,OutOfRangeAlarmExt,Medium,OutOfRange,30,80,50,2,OUT OF RANGE,NORMAL
